门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
云麓      80        2800      75604     92        234       2933      1478      874       537       34        351       1465      1466      3342      1902      254       0         40        0         冰封诗如画
冰心      80        3050      74974     112       234       960       694       434       357       36        346       3067      2848      5163      741       549       0         12        0         依然雪夜
弈剑      80        9010      92947     195       253       1272      490       2715      1133      0         466       2999      2057      2911      2057      2525      0         0         117       华贵妃年世兰丶
冰心      80        9800      91854     140       235       1154      720       522       383       50        330       4257      3906      6408      701       698       0         35        0         夢暖雪生香
冰心      80        6800      95679     168       234       1250      728       467       440       47        336       3938      3565      6291      785       521       0         82        0         桃花舞佳人丶
冰心      80        4500      79878     195       234       1296      860       678       517       36        335       3143      2529      5777      768       194       0         51        0         爱誰誰丶
弈剑      80        6000      80160     120       241       2355      1142      1294      629       9         372       2470      1982      3178      1773      2054      0         0         99        乀灬蠻兲明
冰心      80        4900      90182     150       237       1207      789       495       495       41        334       3832      4194      6123      588       321       0         0         0         半盏时光半凉生
幽篁      80        5000      82280     127       234       3310      1347      694       379       23        395       3582      1168      2714      957       1890      0         99        161       乄夕夕璃音灬
天机      80        3000      80889     140       238       743       407       2313      1133      0         416       4972      1046      1974      1511      1880      0         0         0         苍术灬
云麓      80        3300      82767     132       234       3454      1653      847       568       41        330       1636      1179      3403      2297      340       28        0         0         芸太妃
门派      等级      价格      装评      炼护      加护      大法      小法      大物      小物      疾语      追电      防御      回避      物防      命中      会心      万钧      御心      诛心      名称
冰心      80        6000      91223     195       235       1535      902       593       409       45        330       3851      4231      5906      737       342       0         28        0         乄初訫灬
